Accepted,Degree_Masters,GPA,Is_GPA,Is_Quant,Is_Verbal,Is_Writing,Quant_GRE_Normal,Semester_Fall,Sub_GRE,Verbal_GRE_Normal,Writing_GRE,School_arizonastateuniversity,School_bostonuniveristy,School_brownuniversity,School_buffalosuny,School_carnegiemellon,School_clemsonuniversity,School_coloradouniversityboulder,School_columbiauniversity,School_cornelluniversity,School_dartmouthcollege,School_duke,School_epfl,School_ethzurich,School_georgiatech,School_harvarduniversity,School_illinoisurbanachampaign,School_indianauniversitybloomington,School_iowasateuniversity,School_johnshopkinsuniversity,School_kingabdullahuniversityscienceandtechnology,School_mcgilluniversity,School_michiganstateuniversity,School_mit,School_newyorkuniversity,School_northcarolinastateuniverisy,School_northeasternuniversity,School_northwesternuniversity,School_ohiostateuniversity,School_oregonstateuniversity,School_oxford,School_pennstateuniversity,School_pittsburghu,School_princeton,School_purdueuniversity,School_rensselaerpolytechnicinstitute,School_riceuniversity,School_rutgers,School_simonfraseruniversitysfu,School_stanforduniversity,School_stateuniversitynewyorkstonybrook,School_syracuseuniversity,School_tamu,School_texasuniversityaustin,School_tuftsuniversity,School_ucberkeley,School_ucdavis,School_uci,School_ucla,School_ucr,School_ucsandiego,School_ucsb,School_ucsc,School_umassamherst,School_universityalberta,School_universityarizona,School_universitybritishcolumbia,School_universitychicago,School_universityflorida,School_universitymaryland,School_universitymichiganannarbor,School_universityminnesota,School_universitynotredame,School_universityrochester,School_universitytoronto,School_universityutah,School_universityvirginia,School_universitywashington,School_universitywaterloo,School_universitywisconsinmadison,School_upenn,School_usc,School_vanderbiltuniversity,School_virginiatech,School_yale,Status_A,Status_I,Status_O,Status_U
0,0,2,1,1,1,1,166,1,0,165,5.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,2,1,1,1,1,168,1,1,140,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,2,1,1,1,1,166,1,0,165,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,2,1,1,1,1,163,1,0,160,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,2,1,1,1,1,166,1,0,165,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,2,1,1,1,1,131,1,1,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,2,1,1,1,1,163,1,0,160,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,1,2.19,1,1,1,1,160,1,0,148,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,2.19,1,1,1,1,160,1,0,148,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,2.5,1,1,1,1,170,1,0,166,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
